vial,cage,treatment,replicate,fecundity,experiment,side,bacteria,cagerep,trt,round
6-GN-e,6,GN,e,0,B,northeast,b2,2,b2-northeast,round1
7-AX-d,7,AX,d,15,B,southwest,aori,6,aori-southwest,round1
7-AX-e,7,AX,e,9,B,southwest,aori,6,aori-southwest,round1
7-AX-f,7,AX,f,12,B,southwest,aori,6,aori-southwest,round1
7-GN-d,7,GN,d,25,B,southwest,aori,6,aori-southwest,round1
7-45-d,7,45,d,37,B,southwest,aori,6,aori-southwest,round1
7-45-e,7,45,e,55,B,southwest,aori,6,aori-southwest,round1
7-45-f,7,45,f,28,B,southwest,aori,6,aori-southwest,round1
7-T2-d,7,T2,d,11,B,southwest,aori,6,aori-southwest,round1
7-B2-d,7,B2,d,5,B,southwest,aori,6,aori-southwest,round1
10-AX-d,10,AX,d,15,B,northeast,aori,2,aori-northeast,round1
10-GN-d,10,GN,d,24,B,northeast,aori,2,aori-northeast,round1
10-45-d,10,45,d,28,B,northeast,aori,2,aori-northeast,round1
10-T2-d,10,T2,d,26,B,northeast,aori,2,aori-northeast,round1
10-T2-e,10,T2,e,1,B,northeast,aori,2,aori-northeast,round1
10-T2-f,10,T2,f,28,B,northeast,aori,2,aori-northeast,round1
10-T2-g,10,T2,g,34,B,northeast,aori,2,aori-northeast,round1
10-T2-h,10,T2,h,19,B,northeast,aori,2,aori-northeast,round1
10-B2-d,10,B2,d,40,B,northeast,aori,2,aori-northeast,round1
10-B2-e,10,B2,e,0,B,northeast,aori,2,aori-northeast,round1
10-B2-f,10,B2,f,0,B,northeast,aori,2,aori-northeast,round1
11-AX-d,11,AX,d,19,B,southwest,b2,6,b2-southwest,round1
11-AX-e,11,AX,e,20,B,southwest,b2,6,b2-southwest,round1
11-AX-f,11,AX,f,2,B,southwest,b2,6,b2-southwest,round1
11-GN-d,11,GN,d,4,B,southwest,b2,6,b2-southwest,round1
11-GN-e,11,GN,e,34,B,southwest,b2,6,b2-southwest,round1
11-GN-f,11,GN,f,28,B,southwest,b2,6,b2-southwest,round1
11-GN-g,11,GN,g,27,B,southwest,b2,6,b2-southwest,round1
11-GN-h,11,GN,h,16,B,southwest,b2,6,b2-southwest,round1
11-GN-I,11,GN,I,26,B,southwest,b2,6,b2-southwest,round1
13-AX-d,13,AX,d,8,B,southwest,t2,7,t2-southwest,round1
13-GN-d,13,GN,d,65,B,southwest,t2,7,t2-southwest,round1
13-GN-e,13,GN,e,27,B,southwest,t2,7,t2-southwest,round1
13-GN-f,13,GN,f,27,B,southwest,t2,7,t2-southwest,round1
13-45-d,13,45,d,40,B,southwest,t2,7,t2-southwest,round1
13-T2-d,13,T2,d,15,B,southwest,t2,7,t2-southwest,round1
13-T2-e,13,T2,e,29,B,southwest,t2,7,t2-southwest,round1
13-T2-f,13,T2,f,46,B,southwest,t2,7,t2-southwest,round1
NA,4,NA,NA,NA,NA,northeast,b2,1,b2-northeast,round1
NA,8,NA,NA,NA,NA,northeast,b2,3,b2-northeast,round1
NA,9,NA,NA,NA,NA,southwest,t2,6,t2-southwest,round1
NA,14,NA,NA,NA,NA,northeast,b2,4,b2-northeast,round1
NA,15,NA,NA,NA,NA,southwest,aori,7,aori-southwest,round1
